game,weapon_tag,firing_effect,component_type,component_name,component_tag,marker,camera_mode,bitmap_tags
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,gldf,charged_muzzle_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\charged_muzzle_flash_1p,primary_trigger,independent of camera mode,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,gldf,charged_muzzle_flash_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\charged_muzzle_flash_3p,primary_trigger,independent of camera mode,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,gldf,muzzle_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\muzzle_flash_1p,primary_trigger,only in first person,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,gldf,muzzle_flash_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\muzzle_flash_3p,primary_trigger,only in third person,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,lens,firing_muzzle_flare_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\firing_muzzle_flare_3p,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_assault_carbine\storm_assault_carbine,objects\weapons\rifle\storm_assault_carbine\fx\firing,lens,assault_carbine_lenseflare,objects\weapons\rifle\storm_assault_carbine\fx\parts\assault_carbine_lenseflare,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_br\storm_br,objects\weapons\rifle\storm_br\fx\firing,lens,storm_lenseflare_br,objects\weapons\rifle\storm_br\fx\parts\storm_lenseflare_br,primary_trigger,independent of camera mode,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle,primary_trigger,only in first person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle,source_port,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle_1st,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle_1st,source_port,only in first person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle_muzzle,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle_muzzle,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle_muzzle_1st,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle_muzzle_1st,primary_trigger,only in first person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle_muzzle_soft_glow,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle_muzzle_soft_glow,primary_trigger,only in first person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle_muzzle_soft_glow,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle_muzzle_soft_glow,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,lens,fr_lenseflare_rifle_muzzle_soft_glow,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\fr_lenseflare_rifle_muzzle_soft_glow,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,ltvl,impact_glow,objects\weapons\rifle\storm_forerunner_rifle\fx\impact\impact_glow,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,ltvl,impact_glow,objects\weapons\rifle\storm_forerunner_rifle\fx\impact\impact_glow,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle,objects\weapons\rifle\storm_forerunner_rifle\fx\homingrifle_firing,ltvl,muzzle_glow_1p,objects\weapons\rifle\storm_forerunner_rifle\fx\parts\muzzle_glow_1p,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_smg\storm_forerunner_smg,objects\weapons\rifle\storm_forerunner_smg\fx\fr_smg_firing_muzzle_flash,lens,firing_muzzle_flare_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\firing_muzzle_flare_3p,primary_trigger_muzzle,only in third person,
Halo 4,objects\weapons\rifle\storm_spread_gun\storm_spread_gun,objects\weapons\rifle\storm_spread_gun\fx\firing\sg_firing,gldf,muzzle_flash,objects\weapons\rifle\storm_spread_gun\fx\firing\parts\muzzle_flash,primary_trigger,only in first person,
Halo 4,objects\weapons\rifle\storm_spread_gun\storm_spread_gun,objects\weapons\rifle\storm_spread_gun\fx\firing\sg_firing,gldf,muzzle_flash_3p,objects\weapons\rifle\storm_spread_gun\fx\firing\parts\muzzle_flash_3p,primary_trigger,only in third person,
Halo 4,objects\weapons\rifle\storm_spread_gun\storm_spread_gun,objects\weapons\rifle\storm_spread_gun\fx\firing\sg_firing,ltvl,firing_forward_flash_1p,objects\weapons\rifle\storm_spread_gun\fx\firing\parts\firing_forward_flash_1p,secondary_trigger,only in first person,
Halo 4,objects\weapons\rifle\storm_spread_gun\storm_spread_gun,objects\weapons\rifle\storm_spread_gun\fx\firing\sg_firing,ltvl,firing_forward_flash_3p,objects\weapons\rifle\storm_spread_gun\fx\firing\parts\firing_forward_flash_3p,secondary_trigger,only in third person,
Halo 4,objects\weapons\support_high\storm_forerunner_incineration_launcher\storm_forerunner_incineration_launcher,objects\weapons\support_high\storm_forerunner_incineration_launcher\fx\fr_incin_firing,gldf,muzzle_flash_1p,objects\weapons\support_high\storm_forerunner_incineration_launcher\fx\parts\muzzle_flash_1p,primary_trigger,independent of camera mode,
