game,weapon_tag,firing_effect,component_type,component_name,component_tag,marker,camera_mode,bitmap_tags
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,gldf,charged_muzzle_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\charged_muzzle_flash_1p,primary_trigger,independent of camera mode,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,gldf,charged_muzzle_flash_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\charged_muzzle_flash_3p,primary_trigger,independent of camera mode,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_1p,bottom_plate,only in first person,fx\bitmaps\gradient\grad_forerunner_muzzle_spread;fx\reach\bitmaps\flash\flash_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_1p,bottom_plate,only in third person,fx\bitmaps\gradient\grad_forerunner_muzzle_spread;fx\reach\bitmaps\flash\flash_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_1p,top_plate,only in first person,fx\bitmaps\gradient\grad_forerunner_muzzle_spread;fx\reach\bitmaps\flash\flash_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_1p,top_plate,only in third person,fx\bitmaps\gradient\grad_forerunner_muzzle_spread;fx\reach\bitmaps\flash\flash_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_large_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_large_1p,bottom_plate,only in first person,fx\reach\bitmaps\flash\flash_large
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_large_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_large_1p,bottom_plate,only in third person,fx\reach\bitmaps\flash\flash_large
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_large_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_large_1p,top_plate,only in first person,fx\reach\bitmaps\flash\flash_large
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,charged_plate_flash_large_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\charged_plate_flash_large_1p,top_plate,only in third person,fx\reach\bitmaps\flash\flash_large
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,glow_soft,fx\reach\particles\flare\glow_soft,beam_origin,only in third person,fx\reach\bitmaps\flash\glow_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\charged_concussion,particle,glow_soft,fx\reach\particles\flare\glow_soft,primary_trigger,only in first person,fx\reach\bitmaps\flash\glow_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,gldf,muzzle_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\muzzle_flash_1p,primary_trigger,only in first person,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,gldf,muzzle_flash_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\muzzle_flash_3p,primary_trigger,only in third person,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,lens,firing_muzzle_flare_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\firing_muzzle_flare_3p,primary_trigger,only in third person,
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,flash_large,objects\weapons\pistol\storm_plasma_pistol\fx\particles\flash_large,primary_trigger,only in first person,fx\reach\bitmaps\flash\flash_large
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,flash_large,objects\weapons\pistol\storm_plasma_pistol\fx\particles\flash_large,primary_trigger,only in third person,fx\reach\bitmaps\flash\flash_large
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_flash_1p,primary_trigger,only in first person,fx\bitmaps\gradient\grad_forerunner_muzzle_spread;fx\reach\bitmaps\flash\flash_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_flash_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_flash_1p,primary_trigger,only in third person,fx\bitmaps\gradient\grad_forerunner_muzzle_spread;fx\reach\bitmaps\flash\flash_soft
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_flash_diamond_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_flash_diamond_1p,primary_trigger,only in first person,fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_muzzle_flash_diamond;fx\bitmaps\gradient\grad_forerunner_muzzle_spread
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_flash_diamond_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_flash_diamond_1p,primary_trigger,only in third person,fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_muzzle_flash_diamond;fx\bitmaps\gradient\grad_forerunner_muzzle_spread
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_flash_forward_3p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_flash_forward_3p,primary_trigger,only in third person,fx\bitmaps\2d\weapon_fire\fr_muzzle_flash_out;fx\bitmaps\gradient\grad_forerunner_muzzle_spread
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_ring_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_ring_1p,primary_trigger,only in first person,fx\bitmaps\2d\weapon_fire\fr_muzzle_flash_ring2;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,muzzle_ring_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\muzzle_ring_1p,primary_trigger,only in third person,fx\bitmaps\2d\weapon_fire\fr_muzzle_flash_ring2;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,vent_ring1_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\vent_ring1_1p,fx_vent,only in first person,fx\bitmaps\2d\alphas\horizontal_grad_01;fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_ring_small1;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,vent_ring1_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\vent_ring1_1p,fx_vent,only in third person,fx\bitmaps\2d\alphas\horizontal_grad_01;fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_ring_small1;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,vent_ring1_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\vent_ring1_1p,primary_trigger,only in first person,fx\bitmaps\2d\alphas\horizontal_grad_01;fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_ring_small1;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,vent_ring1_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\vent_ring1_1p,primary_trigger,only in third person,fx\bitmaps\2d\alphas\horizontal_grad_01;fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_ring_small1;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,vent_ring2_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\vent_ring2_1p,fx_vent,only in first person,fx\bitmaps\2d\alphas\horizontal_grad_01;fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_ring_small2;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol,objects\weapons\pistol\storm_stasis_pistol\fx\firing,particle,vent_ring2_1p,objects\weapons\pistol\storm_stasis_pistol\fx\particles\vent_ring2_1p,fx_vent,only in third person,fx\bitmaps\2d\alphas\horizontal_grad_01;fx\bitmaps\2d\weapon_fire\fr_bolt_pistol\fr_bolt_pistol_ring_small2;fx\bitmaps\gradient\grad_forerunner_muzzle_pistol
Halo 4,objects\weapons\rifle\storm_forerunner_smg\storm_forerunner_smg,objects\weapons\rifle\storm_forerunner_smg\fx\fr_smg_firing_muzzle_flash,lens,firing_muzzle_flare_3p,objects\weapons\pistol\storm_stasis_pistol\fx\parts\firing_muzzle_flare_3p,primary_trigger_muzzle,only in third person,
Halo 4,objects\weapons\rifle\storm_forerunner_smg\storm_forerunner_smg,objects\weapons\rifle\storm_forerunner_smg\fx\fr_smg_firing_muzzle_flash,particle,firing_front_plate_1p,objects\weapons\rifle\storm_forerunner_smg\fx\particles\firing_front_plate_1p,front_plate,only in first person,fx\bitmaps\2d\weapon_fire\fr_smg_hard_light\fr_smg_front_plate;fx\bitmaps\gradient\grad_forerunner_muzzle_smg
Halo 4,objects\weapons\rifle\storm_forerunner_smg\storm_forerunner_smg,objects\weapons\rifle\storm_forerunner_smg\fx\fr_smg_firing_muzzle_flash,particle,firing_front_plate_1p,objects\weapons\rifle\storm_forerunner_smg\fx\particles\firing_front_plate_1p,front_plate,only in third person,fx\bitmaps\2d\weapon_fire\fr_smg_hard_light\fr_smg_front_plate;fx\bitmaps\gradient\grad_forerunner_muzzle_smg
