"game","weapon_tag","offset_x","offset_y","offset_z","offset_override_x","offset_override_y","offset_override_z"
"Halo 2 Classic","objects\weapons\fixed\h_turret_mp\weapon\h_turret_mp_weapon","0.000000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","0.000000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","0.030000","0.000000","-0.005000","","",""
"Halo 2 Classic","objects\weapons\pistol\needler\needler","0.030000","0.000000","-0.005000","","",""
"Halo 2 Classic","objects\weapons\pistol\plasma_pistol\plasma_pistol","0.030000","0.000000","-0.005000","","",""
"Halo 2 Classic","objects\weapons\rifle\battle_rifle\battle_rifle","0.020000","0.000000","-0.004000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\beam_rifle","0.020000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\brute_plasma_rifle","0.020000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\covenant_carbine\covenant_carbine","0.020000","0.000000","-0.004000","","",""
"Halo 2 Classic","objects\weapons\rifle\gpmg\gpmg","0.000000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\plasma_rifle","0.020000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\shotgun\shotgun","0.020000","-0.001000","-0.015000","","",""
"Halo 2 Classic","objects\weapons\rifle\smg_silenced\smg_silenced","0.020000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\smg\smg","0.020000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\sniper_rifle\sniper_rifle","0.010000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_high\flak_cannon\flak_cannon","0.020000","0.000000","-0.005000","","",""
"Halo 2 Classic","objects\weapons\support_high\rocket_launcher\rocket_launcher","0.020000","0.000000","-0.005000","","",""
"Halo 2 Classic","objects\weapons\support_low\brute_shot\brute_shot","0.020000","-0.010000","0.001000","","",""
"Halo 4","objects\weapons\pistol\plasma_pistol\plasma_pistol","0","0","0","0","0","0"
"Halo 4","objects\weapons\pistol\storm_bishop_beam\storm_bishop_beam","0","0","0","0","0","0"
"Halo 4","objects\weapons\pistol\storm_burst_pistol\storm_burst_pistol","0","0","0","0","0","0"
"Halo 4","objects\weapons\pistol\storm_magnum\storm_magnum","0","0","0","0","-0.005","-0.02"
"Halo 4","objects\weapons\pistol\storm_needler\storm_needler","0","0","0","0","-0.02","-0.02"
"Halo 4","objects\weapons\pistol\storm_plasma_pistol\storm_plasma_pistol","0","0","0","0","-0.015","-0.02"
"Halo 4","objects\weapons\pistol\storm_sentinel_beam\storm_sentinel_beam","0","0","0","0","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","0","0","0","0","-0.02","-0.025"
"Halo 4","objects\weapons\pistol\storm_sticky_detonator\storm_sticky_detonator","0","0","0","0","-0.01","-0.015"
"Halo 4","objects\weapons\pistol\storm_target_laser\storm_target_laser","0","0","0","0","-0.01","-0.03"
"Halo 4","objects\weapons\pistol\target_laser\target_laser","0","-0.01","-0.01","0","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_carbine\storm_assault_carbine","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_attach_beam\storm_attach_beam","0","0","0","0","0","0"
"Halo 4","objects\weapons\rifle\storm_beam_rifle\storm_beam_rifle","0","0","0","0","0","-0.015"
"Halo 4","objects\weapons\rifle\storm_br\storm_br","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_concussion_rifle\storm_concussion_rifle","0","0","0","0","0","-0.015"
"Halo 4","objects\weapons\rifle\storm_covenant_carbine\storm_covenant_carbine","0","0","0","0","0","-0.015"
"Halo 4","objects\weapons\rifle\storm_dmr\storm_dmr","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_forerunner_rifle\storm_forerunner_rifle","0","0","0","0","-0.005","-0.015"
"Halo 4","objects\weapons\rifle\storm_forerunner_smg\storm_forerunner_smg","0","0","0","0","-0.005","-0.015"
"Halo 4","objects\weapons\rifle\storm_forerunner_sniper_rifle\storm_forerunner_sniper_rifle","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_lmg\storm_lmg","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_rail_gun\storm_rail_gun","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_shotgun\storm_shotgun","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\rifle\storm_sniper_rifle\storm_sniper_rifle","0","0","0","0.01","-0.015","-0.025"
"Halo 4","objects\weapons\rifle\storm_spread_gun\storm_spread_gun","0","0","0","0","0","-0.015"
"Halo 4","objects\weapons\rifle\storm_stasis_rifle\storm_stasis_rifle","0","0","0","0","0","0"
"Halo 4","objects\weapons\support_high\storm_forerunner_incineration_launcher\storm_forerunner_incineration_launcher","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\support_high\storm_fuel_rod_cannon\storm_fuel_rod_cannon","0.02","-0.015","0","0.02","-0.015","-0.01"
"Halo 4","objects\weapons\support_high\storm_rocket_launcher\storm_rocket_launcher","0","0","0","0","0","-0.01"
"Halo 4","objects\weapons\support_high\storm_spartan_laser\storm_spartan_laser","0","0","0","0","0","-0.01"
