"game","weapon_tag","firing_effect","component_type","component_name","component_tag","marker","camera_mode","bitmap_tags"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","flare_large","effects\generic\sparks\flare_large","primary_trigger","0,independent of camera mode","effects\bitmaps\lens_flares\flares_weapon_lens"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","flash_c_generic_long","effects\generic\energy\flash_c_generic_long","primary_trigger","2,only in third person","effects\bitmaps\energy\flash_c_generic_long"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","flash_c_generic_med","effects\generic\energy\flash_c_generic_med","primary_trigger","0,independent of camera mode","effects\bitmaps\energy\flash_c_generic_muzzle"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","flash_c_generic_med","effects\generic\energy\flash_c_generic_med","vent","2,only in third person","effects\bitmaps\energy\flash_c_generic_muzzle"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","plasma_electric_burst","effects\generic\energy\plasma_electric_burst","primary_trigger","0,independent of camera mode","effects\bitmaps\energy\plasma_grenade_electric_burst"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","smoke_white_c_generic","effects\generic\energy\smoke_white_c_generic","primary_trigger","0,independent of camera mode","effects\bitmaps\energy\smoke_white_c_generic"
"Halo 2 Classic","objects\weapons\fixed\plasma_cannon\plasma_cannon","effects\objects\weapons\fixed\plasma_cannon\plasma_cannon_fire","particle","smoke_white_c_generic","effects\generic\energy\smoke_white_c_generic","vent","0,independent of camera mode","effects\bitmaps\energy\smoke_white_c_generic"
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","effects\objects\weapons\pistol\magnum\fire_bullet","particle","muzzle_flash","effects\objects\weapons\rifle\battle_rifle\muzzle_flash","muzzle_flash","2,only in third person","effects\bitmaps\weapons_fire\br_muzzle_flash_long"
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","effects\objects\weapons\pistol\magnum\fire_bullet","particle","muzzle_flash","effects\objects\weapons\rifle\battle_rifle\muzzle_flash","muzzle_flash","3,both first and third","effects\bitmaps\weapons_fire\br_muzzle_flash_long"
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","effects\objects\weapons\pistol\magnum\fire_bullet","particle","muzzle_flash","effects\objects\weapons\rifle\battle_rifle\muzzle_flash","primary_trigger","2,only in third person","effects\bitmaps\weapons_fire\br_muzzle_flash_long"
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","effects\objects\weapons\pistol\magnum\fire_bullet","particle","muzzle_flash_center","effects\objects\weapons\rifle\battle_rifle\muzzle_flash_center","primary_trigger","1,only in first person","effects\bitmaps\weapons_fire\br_muzzle_flash_center"
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","effects\objects\weapons\pistol\magnum\fire_bullet","particle","muzzle_flash_center","effects\objects\weapons\rifle\battle_rifle\muzzle_flash_center","primary_trigger","2,only in third person","effects\bitmaps\weapons_fire\br_muzzle_flash_center"
"Halo 2 Classic","objects\weapons\pistol\magnum\magnum","effects\objects\weapons\pistol\magnum\fire_bullet","particle","smoke","effects\objects\weapons\rifle\battle_rifle\smoke","primary_trigger","3,both first and third","effects\bitmaps\smoke\smoke_warthog_gun"
"Halo 2 Classic","objects\weapons\pistol\needler\needler","effects\objects\weapons\pistol\needler\firing","particle","flash_c_generic","effects\generic\energy\flash_c_generic","primary_trigger","3,both first and third","effects\bitmaps\energy\flash_c_generic_muzzle"
"Halo 2 Classic","objects\weapons\pistol\needler\needler","effects\objects\weapons\pistol\needler\firing","particle","flash_c_generic_med","effects\generic\energy\flash_c_generic_med","primary_trigger","3,both first and third","effects\bitmaps\energy\flash_c_generic_muzzle"
