"game","model_tag","marker","instance","node","translation_x","translation_y","translation_z","rotation_i","rotation_j","rotation_k","rotation_w","scale","direction_x","direction_y","direction_z"
"Halo 2 Classic","objects\weapons\pistol\magnum\fp_magnum\fp_magnum","primary_ejection","0","0","0.010032","-0.006380","0.035699","0.482963","0.232963","0.562422","-0.629409","0.000000","","",""
"Halo 2 Classic","objects\weapons\pistol\magnum\fp_magnum\fp_magnum","primary_trigger","0","0","0.056321","0.000000","0.024507","0.000000","0.000000","0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\pistol\needler\fp_needler\fp_needler","primary_trigger","0","0","0.103716","0.000000","-0.000000","-0.000000","-0.000000","0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\pistol\needler\fp_needler\fp_needler","smoke","0","0","0.000933","0.000000","0.076940","-0.000000","0.000000","0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\pistol\plasma_pistol\fp_plasma_pistol\fp_plasma_pistol","primary_trigger","0","0","0.060463","-0.000000","-0.000500","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\pistol\plasma_pistol\fp_plasma_pistol\fp_plasma_pistol","secondary_trigger","0","0","0.050560","-0.000000","-0.015748","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\battle_rifle\fp_battle_rifle\fp_battle_rifle","muzzle_flash","0","0","0.172157","0.000000","0.042571","0.000000","-0.461749","-0.000000","-0.887011","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\battle_rifle\fp_battle_rifle\fp_battle_rifle","muzzle_flash","1","0","0.172157","-0.002150","0.046812","0.090424","0.286788","0.440377","-0.845957","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\battle_rifle\fp_battle_rifle\fp_battle_rifle","muzzle_flash","2","0","0.172157","0.002147","0.046812","-0.090424","0.286788","-0.440377","-0.845957","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\battle_rifle\fp_battle_rifle\fp_battle_rifle","primary_ejection","0","0","-0.046857","-0.012209","0.057181","-0.443041","0.240708","0.160473","-0.848542","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\battle_rifle\fp_battle_rifle\fp_battle_rifle","primary_trigger","0","0","0.191922","0.000000","0.045854","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","primary_trigger","0","0","0.456232","0.000000","0.000024","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","smoke","0","0","0.451361","0.000000","0.000024","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent01","0","2","0.128833","0.001066","0.043679","0.500000","0.500000","0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent01","1","2","0.129663","0.001066","0.005618","0.500000","-0.500000","-0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent02","0","2","0.099504","0.001066","0.043679","0.500000","0.500000","0.500000","-0.500000","0.000000","","",""
